incident_id,timestamp,category,locality,latitude,longitude,text,status
C00049,2026-07-01 07:15:00,Parks / Public Spaces,Sector 8,27.503799,77.669711,Public space requires cleaning,Open
C00107,2026-07-01 07:21:00,Street Lights,Ward 9,27.483922,77.66468,The road is dark because the street light failed,Resolved
C00084,2026-07-01 07:32:00,Roads & Potholes,Ward 7,27.514315,77.675985,Large pothole near the school,Open
C00124,2026-07-01 07:42:00,Street Lights,Ward 11,27.517008,77.69007,The road is dark because the street light failed,Open
C00099,2026-07-01 07:42:00,Water Supply,Ward 9,27.487868,77.666598,Water connection is not working,Resolved
C00133,2026-07-01 07:45:00,Public Safety,Ward 11,27.514404,77.692167,There is a public hazard in the area,Open
C00082,2026-07-01 07:47:00,Parks / Public Spaces,Sector 15,27.504644,77.683808,Broken benches have not been repaired,Open
C00111,2026-07-01 07:53:00,Traffic,Ward 9,27.485739,77.665133,Vehicles are stuck near the market,Resolved
C00001,2026-07-01 08:01:00,Water Supply,Sector 1,27.492419,77.674516,Our area has had no water since early morning,Open
C00073,2026-07-01 08:03:00,Traffic,Sector 15,27.504007,77.682279,Severe congestion during peak hours,Open
C00110,2026-07-01 08:04:00,Traffic,Ward 9,27.486907,77.666156,Traffic congestion is blocking the road,Resolved
C00057,2026-07-01 08:15:00,Traffic,Sector 12,27.495814,77.691111,Traffic congestion is blocking the road,Open
C00011,2026-07-01 08:22:00,Public Safety,Sector 1,27.496167,77.67479,Safety issue reported near the public building,Resolved
C00132,2026-07-01 08:24:00,Drainage,Ward 11,27.517968,77.692053,Sewage water is overflowing,Open
C00088,2026-07-01 08:26:00,Electricity,Ward 7,27.514379,77.672143,There is a sudden electricity outage,Resolved
C00004,2026-07-01 08:37:00,Water Supply,Sector 1,27.488081,77.674426,Pipeline is not supplying water,Open
C00022,2026-07-01 08:38:00,Garbage / Sanitation,Sector 4,27.487946,77.683347,Waste bins are overflowing,Open
C00085,2026-07-01 08:43:00,Electricity,Ward 7,27.512299,77.6731,Electricity has been out since morning,Open
C00003,2026-07-01 08:43:00,Water Supply,Sector 1,27.491143,77.671614,Our area has had no water since early morning,Resolved
C00060,2026-07-01 08:45:00,Traffic,Sector 12,27.494611,77.689231,Heavy traffic at the intersection,Open
C00128,2026-07-01 08:56:00,Traffic,Ward 11,27.519327,77.690174,Vehicles are stuck near the market,Open
C00086,2026-07-01 08:56:00,Electricity,Ward 7,27.512105,77.673422,Power supply is unstable,Open
C00101,2026-07-01 08:56:00,Garbage / Sanitation,Ward 9,27.483951,77.664987,Garbage has not been collected,Resolved
C00074,2026-07-01 08:59:00,Traffic,Sector 15,27.503811,77.680828,Traffic congestion is blocking the road,Open
C00010,2026-07-01 09:13:00,Traffic,Sector 1,27.49198,77.671413,Vehicles are stuck near the market,Open
C00112,2026-07-01 09:27:00,Drainage,Ward 9,27.485104,77.666475,Water is collecting because the drain is clogged,Open
C00052,2026-07-01 09:42:00,Water Supply,Sector 12,27.497233,77.692845,Pipeline is not supplying water,Resolved
C00091,2026-07-01 09:42:00,Drainage,Ward 7,27.511116,77.675274,Drainage overflow is causing problems,Open
C00108,2026-07-01 09:47:00,Traffic,Ward 9,27.484547,77.664993,Traffic signal is causing long queues,Resolved
C00095,2026-07-01 09:59:00,Public Safety,Ward 7,27.510996,77.675743,Safety issue reported near the public building,Open
C00066,2026-07-01 10:06:00,Public Safety,Sector 12,27.498156,77.690011,The area feels unsafe at night,Resolved
C00005,2026-07-01 10:14:00,Garbage / Sanitation,Sector 1,27.490638,77.670882,Sanitation workers have not visited,Resolved
C00002,2026-07-01 10:14:00,Water Supply,Sector 1,27.491129,77.672212,Water supply has stopped,Resolved
C00063,2026-07-01 10:34:00,Public Safety,Sector 12,27.497358,77.689094,A dangerous obstruction is present,Resolved
C00059,2026-07-01 10:37:00,Traffic,Sector 12,27.497568,77.689487,Traffic congestion is blocking the road,Open
C00114,2026-07-01 10:43:00,Drainage,Ward 9,27.488414,77.665609,Water is collecting because the drain is clogged,Resolved
C00025,2026-07-01 10:43:00,Street Lights,Sector 4,27.487682,77.68036,Several street lights are off,Open
C00104,2026-07-01 10:43:00,Garbage / Sanitation,Ward 9,27.485921,77.667037,Waste bins are overflowing,Open
C00055,2026-07-01 10:45:00,Electricity,Sector 12,27.496939,77.688714,Frequent power cuts are occurring,Open
C00016,2026-07-01 10:45:00,Water Supply,Sector 4,27.489546,77.682397,No water supply since morning,Open
C00031,2026-07-01 10:47:00,Traffic,Sector 4,27.487407,77.680566,Severe congestion during peak hours,Resolved
C00017,2026-07-01 10:49:00,Roads & Potholes,Sector 4,27.488497,77.682463,Several potholes are making the road unsafe,Open
C00026,2026-07-01 10:52:00,Street Lights,Sector 4,27.488752,77.682737,Street light is not working,Open
